2023-03-20 04:25:45 [debug    ] got HTML                       length=1425572 url=https://comedybangbang.fandom.com/wiki/Category:Episodes
2023-03-20 04:25:45 [debug    ] preprocessor                   from_nodes=1 name=CleanHTML nodes=1
2023-03-20 04:25:45 [debug    ] preprocessor                   from_nodes=1 name=CSS(.mw-parser-output a[class!='image link-internal']) nodes=857
2023-03-20 04:25:45 [debug    ] chunked tags                   num=19 sizes=[2008, 2003, 2016, 2037, 2047, 2038, 2040, 2010, 2026, 2046, 2030, 2023, 1787, 2023, 2013, 2024, 2044, 2036, 2002]
2023-03-20 04:25:45 [info     ] API request                    html_tokens=2008 messages=['For the given HTML, convert to a list of JSON objects matching this schema: "url"', 'Responses should be valid JSON, with no other text. Never truncate the JSON with an ellipsis. Always use double quotes for strings and escape quotes with \\. Always omit trailing commas. '] model=gpt-3.5-turbo
2023-03-20 04:29:45 [info     ] API response                   completion_tokens=1325 cost=0.006814000000000001 duration=239.47248005867004 finish_reason=stop prompt_tokens=2082
2023-03-20 04:29:45 [info     ] API request                    html_tokens=2003 messages=['For the given HTML, convert to a list of JSON objects matching this schema: "url"', 'Responses should be valid JSON, with no other text. Never truncate the JSON with an ellipsis. Always use double quotes for strings and escape quotes with \\. Always omit trailing commas. '] model=gpt-3.5-turbo
2023-03-20 04:30:51 [info     ] API response                   completion_tokens=1278 cost=0.00671 duration=66.18540406227112 finish_reason=stop prompt_tokens=2077
2023-03-20 04:30:51 [info     ] API request                    html_tokens=2016 messages=['For the given HTML, convert to a list of JSON objects matching this schema: "url"', 'Responses should be valid JSON, with no other text. Never truncate the JSON with an ellipsis. Always use double quotes for strings and escape quotes with \\. Always omit trailing commas. '] model=gpt-3.5-turbo
2023-03-20 04:31:47 [info     ] API response                   completion_tokens=971 cost=0.006122 duration=55.91373896598816 finish_reason=stop prompt_tokens=2090
2023-03-20 04:31:47 [info     ] API request                    html_tokens=2037 messages=['For the given HTML, convert to a list of JSON objects matching this schema: "url"', 'Responses should be valid JSON, with no other text. Never truncate the JSON with an ellipsis. Always use double quotes for strings and escape quotes with \\. Always omit trailing commas. '] model=gpt-3.5-turbo
